sample_number,sim_time,pos_x,pos_y,pos_z,road_elevation_left,road_elevation_right
66,0.66,930.432,-474.5326,122.6545,122.3481,122.2719
67,0.67,930.432,-474.5326,122.6547,122.3481,122.2719
68,0.68,930.432,-474.5326,122.6547,122.3481,122.2719
69,0.69,930.432,-474.5326,122.6548,122.3481,122.2719
70,0.7,930.4319,-474.5327,122.655,122.3481,122.2719
71,0.71,930.4319,-474.5327,122.655,122.3481,122.2719
72,0.72,930.4319,-474.5327,122.6552,122.3481,122.2719
73,0.73,930.4319,-474.5327,122.6552,122.3481,122.2719
74,0.74,930.4319,-474.5327,122.6553,122.3481,122.2719
75,0.75,930.4319,-474.5327,122.6553,122.3481,122.2719
76,0.76,930.4318,-474.5327,122.6555,122.3481,122.2719
77,0.77,930.4318,-474.5327,122.6555,122.3481,122.2719
78,0.78,930.4318,-474.5327,122.6557,122.3481,122.2719
79,0.79,930.4318,-474.5327,122.6558,122.3481,122.2719
80,0.8,930.4318,-474.5327,122.6558,122.3481,122.2719
81,0.81,930.4318,-474.5327,122.656,122.3481,122.2719
82,0.82,930.4318,-474.5327,122.656,122.3481,122.2719
83,0.83,930.4317,-474.5327,122.6561,122.3481,122.2719
84,0.84,930.4317,-474.5327,122.6561,122.3481,122.2719
85,0.85,930.4317,-474.5327,122.6563,122.3481,122.2719
86,0.86,930.4317,-474.5327,122.6564,122.3481,122.2719
87,0.87,930.4317,-474.5327,122.6564,122.3481,122.2719
88,0.88,930.4317,-474.5327,122.6566,122.3481,122.2719
89,0.89,930.4317,-474.5327,122.6566,122.3481,122.2719
90,0.9,930.4316,-474.5328,122.6567,122.3481,122.2719
91,0.91,930.4316,-474.5328,122.6567,122.3481,122.2719
92,0.92,930.4316,-474.5328,122.6569,122.3481,122.2719
93,0.93,930.4316,-474.5328,122.6569,122.3481,122.2719
94,0.94,930.4316,-474.5328,122.6571,122.3481,122.2719
95,0.95,930.4316,-474.5328,122.6571,122.3481,122.2719
96,0.96,930.4315,-474.5328,122.6572,122.3481,122.2719
97,0.97,930.4315,-474.5329,122.6573,122.3481,122.2719
98,0.98,930.4315,-474.5329,122.6573,122.3481,122.2719
99,0.99,930.4315,-474.5329,122.6574,122.3481,122.2719
100,1.0,930.4315,-474.5329,122.6574,122.3481,122.2719
101,1.01,930.4315,-474.5329,122.6575,122.3481,122.2719
102,1.02,930.4315,-474.5329,122.6575,122.3481,122.2719
103,1.03,930.4315,-474.5329,122.6576,122.3481,122.2719
104,1.04,930.4314,-474.5329,122.6577,122.3481,122.2719
105,1.05,930.4314,-474.5329,122.6577,122.3481,122.2719
106,1.06,930.4314,-474.5329,122.6577,122.3481,122.2719
107,1.07,930.4314,-474.5329,122.6577,122.3481,122.2719
108,1.08,930.4314,-474.5329,122.6577,122.3481,122.2719
109,1.09,930.4314,-474.5329,122.6577,122.3481,122.2719
110,1.1,930.4314,-474.5329,122.6577,122.3481,122.2719
111,1.11,930.4314,-474.5329,122.6577,122.3481,122.2719
112,1.12,930.4314,-474.5329,122.6577,122.3481,122.2719
113,1.13,930.4314,-474.5329,122.6577,122.3481,122.2719
114,1.14,930.4314,-474.5329,122.6577,122.3481,122.2719
115,1.15,930.4314,-474.5329,122.6577,122.3481,122.2719
116,1.16,930.4314,-474.5329,122.6577,122.3481,122.2719
117,1.17,930.4314,-474.5329,122.6577,122.3481,122.2719
118,1.18,930.4314,-474.5329,122.6577,122.3481,122.2719
119,1.19,930.4314,-474.5329,122.6577,122.3481,122.2719
120,1.2,930.4314,-474.5329,122.6577,122.3481,122.2719
121,1.21,930.4314,-474.5329,122.6577,122.3481,122.2719
122,1.22,930.4314,-474.5329,122.6577,122.3481,122.2719
123,1.23,930.4314,-474.5329,122.6577,122.3481,122.2719
124,1.24,930.4314,-474.5329,122.6579,122.3481,122.2719
125,1.25,930.4314,-474.5329,122.6579,122.3481,122.2719
126,1.26,930.4314,-474.5329,122.6579,122.3481,122.2719
127,1.27,930.4314,-474.5329,122.658,122.3481,122.2719
128,1.28,930.4314,-474.5329,122.658,122.3481,122.2719
129,1.29,930.4314,-474.5329,122.658,122.3481,122.2719
130,1.3,930.4314,-474.5329,122.658,122.3481,122.2719
131,1.31,930.4314,-474.5329,122.6581,122.3481,122.2719
132,1.32,930.4314,-474.5329,122.6581,122.3481,122.2719
133,1.33,930.4314,-474.5329,122.6581,122.3481,122.2719
134,1.34,930.4313,-474.5329,122.6582,122.3481,122.2719
135,1.35,930.4313,-474.5329,122.6582,122.3481,122.2719
136,1.36,930.4313,-474.5329,122.6582,122.3481,122.2719
137,1.37,930.4313,-474.5329,122.6584,122.3481,122.2719
138,1.38,930.4313,-474.5329,122.6584,122.3481,122.2719
139,1.39,930.4313,-474.533,122.6586,122.3481,122.2719
140,1.4,930.4313,-474.533,122.6586,122.3481,122.2719
141,1.41,930.4313,-474.533,122.6586,122.3481,122.2719
142,1.42,930.4312,-474.533,122.6588,122.3481,122.2719
143,1.43,930.4312,-474.533,122.6588,122.3481,122.2719
144,1.44,930.4312,-474.533,122.6589,122.3481,122.2719
145,1.45,930.4312,-474.533,122.6589,122.3481,122.2719
146,1.46,930.4312,-474.533,122.6591,122.3481,122.2719
147,1.47,930.4312,-474.533,122.6591,122.3481,122.2719
148,1.48,930.4312,-474.533,122.6591,122.3481,122.2719
149,1.49,930.4311,-474.5331,122.6593,122.3481,122.2719
150,1.5,930.4311,-474.5331,122.6593,122.3481,122.2719
151,1.51,930.4311,-474.5331,122.6595,122.3481,122.2719
152,1.52,930.4311,-474.5331,122.6595,122.3481,122.2719
153,1.53,930.4311,-474.5331,122.6595,122.3481,122.2719
154,1.54,930.4311,-474.5331,122.6596,122.3481,122.2719
155,1.55,930.4311,-474.5331,122.6596,122.3481,122.2719
156,1.56,930.4311,-474.5331,122.6598,122.3481,122.2719
157,1.57,930.4311,-474.5331,122.6598,122.3481,122.2719
158,1.58,930.4311,-474.5331,122.6598,122.3481,122.2719
159,1.59,930.431,-474.5331,122.6599,122.3481,122.2719
160,1.6,930.431,-474.5331,122.6599,122.3481,122.2719
161,1.61,930.431,-474.5331,122.6601,122.3481,122.2719
162,1.62,930.431,-474.5331,122.6601,122.3481,122.2719
163,1.63,930.431,-474.5331,122.6601,122.3481,122.2719
164,1.64,930.431,-474.5331,122.6602,122.3481,122.2719
165,1.65,930.431,-474.5331,122.6602,122.3481,122.2719
166,1.66,930.431,-474.5331,122.6603,122.3481,122.2719
167,1.67,930.431,-474.5331,122.6603,122.3481,122.2719
168,1.68,930.4309,-474.5332,122.6605,122.3481,122.2719
169,1.69,930.4309,-474.5332,122.6605,122.3481,122.2719
170,1.7,930.4309,-474.5332,122.6605,122.3481,122.2719
171,1.71,930.4309,-474.5332,122.6605,122.3481,122.2719
172,1.72,930.4309,-474.5332,122.6606,122.3481,122.2719
173,1.73,930.4309,-474.5332,122.6606,122.3481,122.2719
174,1.74,930.4309,-474.5332,122.6606,122.3481,122.2719
175,1.75,930.4309,-474.5332,122.6607,122.3481,122.2719
176,1.76,930.4309,-474.5332,122.6608,122.3481,122.2719
177,1.77,930.4309,-474.5332,122.6608,122.3481,122.2719
178,1.78,930.4309,-474.5332,122.6608,122.3481,122.2719
179,1.79,930.4309,-474.5332,122.6608,122.3481,122.2719
180,1.8,930.4309,-474.5332,122.6608,122.3481,122.2719
181,1.81,930.4308,-474.5333,122.6609,122.3481,122.2719
182,1.82,930.4308,-474.5333,122.661,122.3481,122.2719
183,1.83,930.4308,-474.5333,122.661,122.3481,122.2719
184,1.84,930.4308,-474.5333,122.661,122.3481,122.2719
185,1.85,930.4308,-474.5333,122.6611,122.3481,122.2719
186,1.86,930.4308,-474.5333,122.6611,122.3481,122.2719
187,1.87,930.4308,-474.5333,122.6612,122.3481,122.2719
188,1.88,930.4308,-474.5333,122.6612,122.3481,122.2719
189,1.89,930.4308,-474.5333,122.6613,122.3481,122.2719
190,1.9,930.4308,-474.5333,122.6613,122.3481,122.2719
191,1.91,930.4308,-474.5333,122.6613,122.3481,122.2719
192,1.92,930.4308,-474.5333,122.6613,122.3481,122.2719
193,1.93,930.4308,-474.5333,122.6613,122.3481,122.2719
194,1.94,930.4308,-474.5333,122.6614,122.3481,122.2719
195,1.95,930.4308,-474.5333,122.6614,122.3481,122.2719
196,1.96,930.4307,-474.5333,122.6615,122.3481,122.2719
197,1.97,930.4307,-474.5333,122.6615,122.3481,122.2719
198,1.98,930.4307,-474.5333,122.6616,122.3481,122.2719
199,1.99,930.4307,-474.5333,122.6616,122.3481,122.2719
200,2.0,930.4307,-474.5333,122.6616,122.3481,122.2719
201,2.01,930.4307,-474.5333,122.6617,122.3481,122.2719
202,2.02,930.4307,-474.5333,122.6617,122.3481,122.2719
203,2.03,930.4307,-474.5333,122.6617,122.3481,122.2719
204,2.04,930.4307,-474.5333,122.6617,122.3481,122.2719
205,2.05,930.4307,-474.5333,122.6618,122.3481,122.2719
206,2.06,930.4307,-474.5333,122.6618,122.3481,122.2719
207,2.07,930.4307,-474.5333,122.6619,122.3481,122.2719
208,2.08,930.4307,-474.5333,122.6619,122.3481,122.2719
209,2.09,930.4306,-474.5333,122.662,122.3481,122.2719
210,2.1,930.4306,-474.5333,122.662,122.3481,122.2719
211,2.11,930.4306,-474.5334,122.662,122.3481,122.2719
212,2.12,930.4306,-474.5334,122.662,122.3481,122.2719
213,2.13,930.4306,-474.5334,122.6621,122.3481,122.2719
214,2.14,930.4306,-474.5334,122.6621,122.3481,122.2719
215,2.15,930.4306,-474.5334,122.6622,122.3481,122.2719
216,2.16,930.4306,-474.5334,122.6622,122.3481,122.2719
217,2.17,930.4306,-474.5334,122.6622,122.3481,122.2719
218,2.18,930.4306,-474.5334,122.6622,122.3481,122.2719
219,2.19,930.4306,-474.5334,122.6623,122.3481,122.2719
220,2.2,930.4306,-474.5334,122.6623,122.3481,122.2719
221,2.21,930.4306,-474.5333,122.6624,122.3481,122.2719
222,2.22,930.4306,-474.5333,122.6624,122.3481,122.2719
223,2.23,930.4305,-474.5333,122.6624,122.3481,122.2719
224,2.24,930.4305,-474.5333,122.6624,122.3481,122.2719
225,2.25,930.4305,-474.5333,122.6625,122.3481,122.2719
226,2.26,930.4305,-474.5333,122.6625,122.3481,122.2719
227,2.27,930.4305,-474.5334,122.6625,122.3481,122.2719
228,2.28,930.4305,-474.5334,122.6625,122.3481,122.2719
229,2.29,930.4305,-474.5334,122.6626,122.3481,122.2719
230,2.3,930.4305,-474.5334,122.6626,122.3481,122.2719
231,2.31,930.4305,-474.5334,122.6626,122.3481,122.2719
232,2.32,930.4305,-474.5334,122.6626,122.3481,122.2719
233,2.33,930.4305,-474.5334,122.6627,122.3481,122.2719
234,2.34,930.4305,-474.5334,122.6627,122.3481,122.2719
235,2.35,930.4305,-474.5334,122.6627,122.3481,122.2719
236,2.36,930.4305,-474.5334,122.6627,122.3481,122.2719
237,2.37,930.4305,-474.5334,122.6628,122.3481,122.2719
238,2.38,930.4305,-474.5334,122.6628,122.3481,122.2719
239,2.39,930.4305,-474.5334,122.6628,122.3481,122.2719
240,2.4,930.4305,-474.5334,122.6628,122.3481,122.2719
241,2.41,930.4305,-474.5334,122.6628,122.3481,122.2719
242,2.42,930.4305,-474.5334,122.6628,122.3481,122.2719
243,2.43,930.4305,-474.5334,122.6628,122.3481,122.2719
244,2.44,930.4305,-474.5334,122.6629,122.3481,122.2719
245,2.45,930.4305,-474.5334,122.6629,122.3481,122.2719
246,2.46,930.4304,-474.5334,122.6629,122.3481,122.2719
247,2.47,930.4304,-474.5334,122.6629,122.3481,122.2719
248,2.48,930.4304,-474.5334,122.663,122.3481,122.2719
249,2.49,930.4304,-474.5334,122.663,122.3481,122.2719
250,2.5,930.4304,-474.5334,122.663,122.3481,122.2719
251,2.51,930.4304,-474.5334,122.663,122.3481,122.2719
252,2.52,930.4304,-474.5334,122.663,122.3481,122.2719
253,2.53,930.4304,-474.5334,122.6631,122.3481,122.2719
254,2.54,930.4304,-474.5334,122.6631,122.3481,122.2719
255,2.55,930.4304,-474.5334,122.6631,122.3481,122.2719
256,2.56,930.4304,-474.5334,122.6632,122.3481,122.2719
257,2.57,930.4304,-474.5334,122.6632,122.3481,122.2719
258,2.58,930.4304,-474.5334,122.6632,122.3481,122.2719
259,2.59,930.4304,-474.5334,122.6632,122.3481,122.2719
260,2.6,930.4304,-474.5334,122.6633,122.3481,122.2719
261,2.61,930.4304,-474.5334,122.6633,122.3481,122.2719
262,2.62,930.4304,-474.5334,122.6633,122.3481,122.2719
263,2.63,930.4304,-474.5334,122.6633,122.3481,122.2719
264,2.64,930.4304,-474.5334,122.6633,122.3481,122.2719
265,2.65,930.4304,-474.5334,122.6633,122.3481,122.2719
266,2.66,930.4304,-474.5334,122.6634,122.3481,122.2719
267,2.67,930.4304,-474.5335,122.6634,122.3481,122.2719
268,2.68,930.4304,-474.5335,122.6634,122.3481,122.2719
269,2.69,930.4304,-474.5335,122.6634,122.3481,122.2719
270,2.7,930.4304,-474.5335,122.6634,122.3481,122.2719
271,2.71,930.4304,-474.5335,122.6634,122.3481,122.2719
272,2.72,930.4303,-474.5335,122.6635,122.3481,122.2719
273,2.73,930.4303,-474.5335,122.6635,122.3481,122.2719
274,2.74,930.4303,-474.5335,122.6635,122.3481,122.2719
275,2.75,930.4303,-474.5335,122.6636,122.3481,122.2719
276,2.76,930.4303,-474.5335,122.6636,122.3481,122.2719
277,2.77,930.4303,-474.5335,122.6636,122.3481,122.2719
278,2.78,930.4303,-474.5335,122.6636,122.3481,122.2719
279,2.79,930.4303,-474.5335,122.6636,122.3481,122.2719
280,2.8,930.4303,-474.5335,122.6636,122.3481,122.2719
281,2.81,930.4303,-474.5335,122.6637,122.3481,122.2719
282,2.82,930.4303,-474.5335,122.6637,122.3481,122.2719
283,2.83,930.4303,-474.5335,122.6637,122.3481,122.2719
284,2.84,930.4303,-474.5335,122.6637,122.3481,122.2719
285,2.85,930.4303,-474.5335,122.6637,122.3481,122.2719
286,2.86,930.4303,-474.5335,122.6637,122.3481,122.2719
287,2.87,930.4303,-474.5335,122.6638,122.3481,122.2719
288,2.88,930.4303,-474.5335,122.6638,122.3481,122.2719
289,2.89,930.4303,-474.5335,122.6638,122.3481,122.2719
290,2.9,930.4303,-474.5335,122.6638,122.3481,122.2719
291,2.91,930.4303,-474.5335,122.6638,122.3481,122.2719
292,2.92,930.4303,-474.5335,122.6638,122.3481,122.2719
293,2.93,930.4303,-474.5335,122.6638,122.3481,122.2719
294,2.94,930.4303,-474.5335,122.6638,122.3481,122.2719
295,2.95,930.4303,-474.5335,122.6639,122.3481,122.2719
296,2.96,930.4303,-474.5335,122.6639,122.3481,122.2719
297,2.97,930.4303,-474.5335,122.6639,122.3481,122.2719
298,2.98,930.4303,-474.5335,122.6639,122.3481,122.2719
299,2.99,930.4303,-474.5335,122.6639,122.3481,122.2719
300,3.0,930.4303,-474.5335,122.6639,122.3481,122.2719
301,3.01,930.4303,-474.5335,122.6639,122.3481,122.2719
302,3.02,930.4303,-474.5335,122.664,122.3481,122.2719
303,3.03,930.4303,-474.5335,122.664,122.3481,122.2719
304,3.04,930.4303,-474.5335,122.664,122.3481,122.2719
305,3.05,930.4303,-474.5335,122.664,122.3481,122.2719
306,3.06,930.4303,-474.5335,122.664,122.3481,122.2719
307,3.07,930.4303,-474.5335,122.664,122.3481,122.2719
308,3.08,930.4303,-474.5335,122.664,122.3481,122.2719
309,3.09,930.4303,-474.5335,122.664,122.3481,122.2719
310,3.1,930.4303,-474.5336,122.6641,122.3481,122.2719
311,3.11,930.4303,-474.5336,122.6641,122.3481,122.2719
312,3.12,930.4303,-474.5336,122.6641,122.3481,122.2719
313,3.13,930.4302,-474.5337,122.6642,122.3481,122.2719
314,3.14,930.4302,-474.5337,122.6642,122.3481,122.2719
315,3.15,930.4301,-474.5338,122.6645,122.3481,122.2719
316,3.16,930.4299,-474.534,122.6647,122.3481,122.2719
317,3.17,930.4299,-474.534,122.6647,122.3481,122.2719
318,3.18,930.4296,-474.5342,122.665,122.3481,122.2719
319,3.19,930.4296,-474.5342,122.665,122.3481,122.2718
320,3.2,930.4293,-474.5344,122.6654,122.3481,122.2718
321,3.21,930.4293,-474.5344,122.6654,122.3481,122.2718
322,3.22,930.4293,-474.5344,122.6654,122.3481,122.2718
323,3.23,930.4286,-474.5348,122.6659,122.3481,122.2718
324,3.24,930.4281,-474.5353,122.6664,122.3481,122.2718
325,3.25,930.4281,-474.5353,122.6664,122.348,122.2717
326,3.26,930.4277,-474.5357,122.6667,122.348,122.2717
327,3.27,930.4272,-474.5363,122.6671,122.348,122.2717
328,3.28,930.4272,-474.5363,122.6671,122.348,122.2717
329,3.29,930.4267,-474.5369,122.6674,122.3479,122.2716
330,3.3,930.4267,-474.5369,122.6674,122.3479,122.2716
331,3.31,930.4263,-474.5374,122.6676,122.3479,122.2716
332,3.32,930.4259,-474.538,122.6678,122.3479,122.2715
333,3.33,930.4259,-474.538,122.6678,122.3478,122.2715
334,3.34,930.4256,-474.5385,122.668,122.3478,122.2715
335,3.35,930.4256,-474.5385,122.668,122.3478,122.2715
336,3.36,930.4253,-474.5391,122.6682,122.3478,122.2715
337,3.37,930.4249,-474.5394,122.6681,122.3477,122.2714
338,3.38,930.4249,-474.5394,122.6681,122.3477,122.2714
339,3.39,930.425,-474.5398,122.6683,122.3477,122.2714
340,3.4,930.425,-474.5398,122.6683,122.3477,122.2714
341,3.41,930.4254,-474.54,122.668,122.3476,122.2714
342,3.42,930.4254,-474.54,122.668,122.3476,122.2714
343,3.43,930.4256,-474.54,122.6679,122.3476,122.2714
344,3.44,930.4256,-474.54,122.6679,122.3475,122.2714
345,3.45,930.4257,-474.5401,122.6676,122.3475,122.2714
346,3.46,930.4257,-474.5401,122.6676,122.3475,122.2714
347,3.47,930.4259,-474.5404,122.6672,122.3475,122.2714
348,3.48,930.4259,-474.5404,122.6672,122.3475,122.2714
349,3.49,930.426,-474.5408,122.6668,122.3475,122.2714
350,3.5,930.426,-474.5408,122.6668,122.3475,122.2714
351,3.51,930.4259,-474.5415,122.6665,122.3474,122.2714
352,3.52,930.4257,-474.5423,122.6664,122.3474,122.2714
353,3.53,930.4257,-474.5423,122.6664,122.3474,122.2714
354,3.54,930.4253,-474.5438,122.6661,122.3474,122.2714
355,3.55,930.4253,-474.5438,122.6661,122.3474,122.2714
356,3.56,930.4248,-474.5453,122.666,122.3473,122.2714
357,3.57,930.4248,-474.5453,122.666,122.3473,122.2713
358,3.58,930.4243,-474.5477,122.6659,122.3473,122.2713
359,3.59,930.4243,-474.5477,122.6659,122.3473,122.2712
360,3.6,930.4238,-474.5504,122.6659,122.3473,122.2712
361,3.61,930.4238,-474.5504,122.6659,122.3472,122.2712
362,3.62,930.4235,-474.5529,122.6658,122.3472,122.2711
363,3.63,930.4233,-474.5564,122.6658,122.3472,122.2711
364,3.64,930.4233,-474.5564,122.6658,122.3471,122.271
365,3.65,930.4234,-474.5601,122.6658,122.3471,122.271
366,3.66,930.4234,-474.5601,122.6658,122.3471,122.271
367,3.67,930.4236,-474.564,122.6657,122.347,122.2709
368,3.68,930.4236,-474.564,122.6657,122.347,122.2708
369,3.69,930.4239,-474.5681,122.6657,122.347,122.2708
370,3.7,930.4241,-474.5714,122.6657,122.3469,122.2707
371,3.71,930.4241,-474.5714,122.6657,122.3468,122.2707
372,3.72,930.4241,-474.5759,122.6658,122.3468,122.2707
373,3.73,930.4239,-474.5806,122.6659,122.3466,122.2705
374,3.74,930.4239,-474.5806,122.6659,122.3465,122.2705
375,3.75,930.4235,-474.5845,122.6661,122.3465,122.2705
376,3.76,930.4225,-474.5897,122.6668,122.3463,122.2703
377,3.77,930.4225,-474.5897,122.6668,122.3463,122.2703
378,3.78,930.4211,-474.5953,122.6678,122.346,122.2701
379,3.79,930.4211,-474.5953,122.6678,122.3459,122.2699
380,3.8,930.4196,-474.6002,122.6687,122.3459,122.2699
381,3.81,930.4175,-474.6065,122.6699,122.3457,122.2697
382,3.82,930.4155,-474.6123,122.6708,122.3452,122.2694
383,3.83,930.4155,-474.6123,122.6708,122.3452,122.2694
384,3.84,930.413,-474.6198,122.6723,122.3449,122.2692
385,3.85,930.413,-474.6198,122.6723,122.3449,122.2692
386,3.86,930.4102,-474.629,122.6733,122.3446,122.269
387,3.87,930.4072,-474.6395,122.6733,122.3439,122.2686
388,3.88,930.4072,-474.6395,122.6733,122.3439,122.2686
389,3.89,930.4046,-474.6513,122.6726,122.3434,122.2683
390,3.9,930.4046,-474.6513,122.6726,122.3434,122.2683
391,3.91,930.4046,-474.6513,122.6726,122.343,122.2677
392,3.92,930.401,-474.6667,122.672,122.343,122.2677
393,3.93,930.3975,-474.6809,122.6716,122.3423,122.2675
394,3.94,930.3975,-474.6809,122.6716,122.3423,122.2675
395,3.95,930.3942,-474.6929,122.6709,122.3418,122.2669
396,3.96,930.3942,-474.6929,122.6709,122.3413,122.2665
397,3.97,930.3877,-474.7163,122.6705,122.3413,122.2665
398,3.98,930.3877,-474.7163,122.6705,122.3404,122.2657
399,3.99,930.3834,-474.7302,122.6711,122.3404,122.2657
400,4.0,930.3785,-474.7452,122.6714,122.3399,122.2653
401,4.01,930.3785,-474.7452,122.6714,122.3392,122.2645
402,4.02,930.3719,-474.7646,122.6705,122.3392,122.2645
403,4.03,930.3719,-474.7646,122.6705,122.3378,122.2636
404,4.04,930.3649,-474.7848,122.6701,122.3378,122.2636
405,4.05,930.359,-474.8011,122.6698,122.3366,122.2629
406,4.06,930.359,-474.8011,122.6698,122.336,122.2623
407,4.07,930.3505,-474.8225,122.6696,122.336,122.2623
408,4.08,930.3505,-474.8225,122.6696,122.3346,122.2616
409,4.09,930.3399,-474.8493,122.67,122.3346,122.2616
410,4.1,930.3399,-474.8493,122.67,122.3336,122.2604
411,4.11,930.3324,-474.8686,122.6701,122.3336,122.2604
412,4.12,930.3261,-474.8845,122.6698,122.3326,122.2604
413,4.13,930.3261,-474.8845,122.6698,122.3326,122.2604
414,4.14,930.3157,-474.9113,122.6686,122.3305,122.2588
415,4.15,930.3157,-474.9113,122.6686,122.3305,122.2588
416,4.16,930.3047,-474.939,122.6682,122.329,122.2575
417,4.17,930.3047,-474.939,122.6682,122.3275,122.2568
418,4.18,930.2933,-474.9677,122.6673,122.3275,122.2568
419,4.19,930.2933,-474.9677,122.6673,122.3265,122.2551
420,4.2,930.2817,-474.9968,122.6661,122.3265,122.2551
421,4.21,930.2689,-475.0285,122.6648,122.325,122.2542
422,4.22,930.2689,-475.0285,122.6648,122.325,122.2542
423,4.23,930.2554,-475.0611,122.6644,122.3233,122.2526
424,4.24,930.2554,-475.0611,122.6644,122.3212,122.2526
425,4.25,930.2443,-475.0869,122.6633,122.3212,122.2526
426,4.26,930.2443,-475.0869,122.6633,122.32,122.2515
427,4.27,930.222,-475.1387,122.6605,122.32,122.2515
428,4.28,930.222,-475.1387,122.6605,122.3179,122.2497
429,4.29,930.2075,-475.1708,122.6593,122.3179,122.2497
430,4.3,930.2075,-475.1708,122.6593,122.3156,122.2481
431,4.31,930.1927,-475.2029,122.6578,122.3156,122.2481
432,4.32,930.1927,-475.2029,122.6578,122.3134,122.2469
433,4.33,930.1779,-475.2349,122.6563,122.3134,122.2469
434,4.34,930.1779,-475.2349,122.6563,122.3123,122.2447
435,4.35,930.1642,-475.2634,122.6553,122.3123,122.2447
436,4.36,930.1642,-475.2634,122.6553,122.3098,122.243
437,4.37,930.1494,-475.2934,122.6537,122.3098,122.243
438,4.38,930.1494,-475.2934,122.6537,122.308,122.2413
